StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      04,   199511,   1.05,   37.7,   3.37,   3.37,   -.02,   3.17,      0,    819,    .62,   -.03,    .71,    .67,   1.77,   1.65,    .49,     24,   51.4,
       05,      04,   199512,    .45,   29.3,   2.79,   2.79,    -.7,   2.27,      0,   1107,   -.76,   -.05,    -.4,   -.49,   1.78,   1.67,    .47,   15.9,   42.7,
       05,      04,   199601,   1.43,   23.7,   3.16,   3.16,   1.96,   3.16,      0,   1280,   1.95,    .84,    .91,    .29,   1.87,   1.92,    .65,    9.7,   37.6,
       05,      04,   199602,    .62,   30.3,   2.86,   2.86,    .08,   2.83,      0,    972,   -.33,   1.19,    .46,    .78,    .74,   1.84,    .59,   15.6,     45,
       05,      04,   199603,   1.36,   32.6,   2.84,   2.84,    .83,   2.84,      0,   1004,    .33,    .01,     .9,    .21,   -.13,   1.89,    .76,   18.3,   46.9,
       05,      04,   199604,   1.25,   43.4,   2.16,   2.16,  -1.14,   1.63,      0,    648,   -.73,   -.49,   -.65,    -.1,   -.24,   1.37,    .59,   28.6,   58.3,
       05,      04,   199605,   3.04,   53.7,   2.14,   2.14,    .59,   1.79,      0,    354,    .63,   -.04,   -.01,    .13,    .45,    .56,    .98,   39.8,   67.7,
       05,      04,   199606,   1.87,     63,   1.93,   1.93,    .04,   1.54,     54,    114,    .13,     .5,   -.04,    .25,    .02,   -.16,   1.17,   47.5,   78.6,
       05,      04,   199607,   2.34,   67.8,   1.97,   1.97,    .72,    1.8,    106,     19,    .13,    .12,    .48,   -.07,    .22,     .1,   1.43,     53,   82.6,
       05,      04,   199608,   1.78,   65.8,   1.86,   1.86,    .27,   1.73,     68,     43,      0,   -.01,      0,   -.07,    .08,    .37,   1.43,   50.1,   81.5,
       05,      04,   199609,   2.73,   55.8,   2.86,   2.86,   3.58,   2.86,      6,    282,    1.5,   1.12,    .98,    .51,    .73,    .51,   2.25,   41.9,   69.7,
       05,      04,   199610,    .75,   46.4,    2.4,    2.4,   -.49,   2.13,      0,    577,   -.41,     .9,    .67,    .66,    .29,     .5,   1.77,   31.4,   61.4,
       05,      04,   199611,    .79,   34.2,   2.13,   2.13,   -.07,   1.77,      0,    924,    .12,   -.41,    .84,    .41,    .29,    .39,   1.65,   21.4,     47,
       05,      04,   199612,    .81,   28.3,   1.98,   1.98,    .22,   1.66,      0,   1138,    .26,    .12,   -.33,    .52,    .29,    .51,   1.65,   15.6,   41.1,
       05,      04,   199701,   1.02,   24.2,   2.07,   2.07,    .88,   2.05,      0,   1265,    .99,    .75,    .53,    .78,    .73,    .37,   1.75,   11.8,   36.7,
       05,      04,   199702,    .82,   27.2,   2.02,   2.02,    .49,   2.02,      0,   1058,    .26,    .79,    .69,    .99,    .57,    .41,    1.7,   14.9,   39.6,
       05,      04,   199703,    .55,     38,   1.08,   1.08,  -2.22,   -.01,      0,    837,   -1.5,  -1.04,   -.41,   -.57,     .3,    .16,   1.67,   22.1,   53.8,
       05,      04,   199704,   2.45,   37.4,   1.54,   1.54,   1.72,    1.2,      0,    828,     .6,   -.12,   -.11,    .09,    .46,    .57,   1.58,   24.2,   50.6,
       05,      04,   199705,   2.21,   52.2,   1.25,   1.25,   -.41,    .67,      0,    397,   -.08,     .2,   -.28,   -.03,     .4,    .25,    .63,   37.8,   66.6,
       05,      04,   199706,   3.11,   62.6,   1.99,   1.99,   2.61,   1.99,     49,    121,   1.31,    .74,    .78,    .52,    .29,    .76,    .47,   48.3,   76.8,
       05,      04,   199707,   2.71,   67.7,   2.55,   2.55,    2.3,   2.55,    104,     20,    .64,   1.38,    .87,    .55,    .66,    .92,    .72,     52,   83.4,
       05,      04,   199708,   3.49,   64.9,      4,      4,   5.15,      4,     53,     56,   1.88,   1.92,   2.16,   1.15,   1.28,   1.55,   1.35,   51.3,   78.6,
       05,      04,   199709,   1.78,   59.9,   4.18,   4.18,   1.77,   4.18,     21,    174,    .68,   1.64,   1.72,    1.6,   1.37,   1.15,   1.35,   45.8,     74,
       05,      04,   199710,   2.11,   46.1,   4.73,   4.73,   2.94,   4.73,      0,    586,   1.22,   1.21,   1.98,   1.84,   1.47,   1.49,    1.7,   31.3,   60.9,
       05,      04,   199711,    .84,   31.5,   4.56,   4.56,    .95,   4.56,      0,   1005,    .22,    1.1,   1.17,   2.39,   1.44,   1.54,   1.55,   19.6,   43.5,
       05,      04,   199712,    .67,   25.7,   4.28,   4.28,    .58,   4.28,      0,   1218,    -.1,   -.03,    .91,   1.88,   1.71,   1.51,   1.52,   14.4,   36.9,
       05,      04,   199801,     .6,     29,   4.01,   4.01,    .51,   4.01,      0,   1116,   -.18,   -.29,   -.16,    1.7,   1.67,   1.37,    1.3,   16.4,   41.6,
       05,      04,   199802,     .7,   30.2,   3.89,   3.89,    .87,   3.89,      0,    974,   -.08,    -.3,    -.4,    .85,   2.18,   1.33,    1.3,   18.7,   41.6,
       05,      04,   199803,   1.32,   33.3,   3.94,   3.94,   1.36,   3.94,      0,    983,    .27,    .07,   -.09,    .62,   1.72,   1.57,   1.37,   19.9,   46.8,
       05,      04,   199804,   2.02,   41.2,   3.94,   3.94,   1.19,   3.94,      0,    714,    .23,    .17,    .07,    -.1,    1.4,   1.47,   1.66,   27.4,     55,
       05,      04,   199805,    1.7,   54.7,   3.02,   3.02,  -1.53,   2.36,      5,    325,   -.64,   -.44,   -.39,   -.53,    .21,   1.38,   1.18,   39.3,     70,
       05,      04,   199806,   1.64,   58.5,   2.78,   2.78,    .23,   2.17,     15,    210,   -.14,   -.61,   -.51,   -.55,   -.09,    .84,   1.15,   43.2,   73.8,
       05,      04,   199807,   3.88,   69.2,    3.8,    3.8,   3.89,    3.8,    140,     10,   2.22,   1.15,    .46,    .29,     .2,   1.29,   1.55,     55,   83.3,
       05,      04,   199808,   1.65,   66.4,   3.62,   3.62,    .64,   3.62,     78,     35,   -.18,   1.29,    .77,    .17,    .09,    .62,   1.51,   51.4,   81.4,
       05,      04,   199809,    .85,   62.7,   2.82,   2.82,  -1.28,   2.26,     47,    116,   -.45,   -.54,    .66,   -.02,   -.07,    .24,   1.12,   46.7,   78.8,
       05,      04,   199810,    1.9,   46.3,   3.22,   3.22,   2.07,   3.22,      0,    580,   1.03,     .3,    .08,    .29,    .26,     .2,   1.43,   33.4,   59.3,
       05,      04,   199811,     .9,   38.1,   2.76,   2.76,   -.39,   2.54,      0,    807,    .34,    .96,    .36,    .69,    .27,    .19,   1.39,   26.4,   49.8,
