"STATION","STATION_NAME","ELEVATION","LATITUDE","LONGITUDE","DATE","HPCP","Measurement.Flag","Quality.Flag","DateTime"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490329 21:00",0.02," "," ","1949-03-29 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490329 22:00",0.01," "," ","1949-03-29 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 01:00",0.01," "," ","1949-03-30 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 02:00",0.03," "," ","1949-03-30 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 03:00",0.02," "," ","1949-03-30 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 04:00",0.03," "," ","1949-03-30 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 05:00",0.02," "," ","1949-03-30 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 06:00",0.02," "," ","1949-03-30 06:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 07:00",0.01," "," ","1949-03-30 07:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 08:00",0.04," "," ","1949-03-30 08:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 09:00",0.03," "," ","1949-03-30 09:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 10:00",0.02," "," ","1949-03-30 10:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 11:00",0.03," "," ","1949-03-30 11:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 12:00",0.02," "," ","1949-03-30 12:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 13:00",0.01," "," ","1949-03-30 13:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490330 15:00",0.01," "," ","1949-03-30 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490401 01:00",0,"g"," ","1949-04-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 00:00",0.02," "," ","1949-04-02 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 01:00",0.01," "," ","1949-04-02 01:00:00"
