genus_species,Family,Order,TaxonGroup,woody_non-woody,Growth_form,Decid_or_Ever,Compound_Simple,Leaf size_cm2,Whole_leaf_size_cm2,Country,Latitude,Longitude,Elevation (m),MAT,Tgs,TCM,TCMgs,TWM,MAP,PPTgs,cvPPT,MIann,MIgs,ETq,ETqgs,RADann,RADgs,RHann,RHgs
Acer pensylvanicum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,169.63,169.63,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Acer rubrum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,43.36,43.36,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Acer saccharum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,34.63,34.63,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Betula alleghaniensis,Betulaceae,Fagales,angio,woody,Tree,D,S,16.53,16.53,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Betula papyrifera,Betulaceae,Fagales,angio,woody,Tree,D,S,5.66,5.66,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Betula populifolia,Betulaceae,Fagales,angio,woody,Tree,D,S,8.87,8.87,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Carpinus caroliniana,Betulaceae,Fagales,angio,woody,Tree,D,S,25.38,25.38,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Carya ovata,Juglandaceae,Fagales,angio,woody,Tree,D,C,60.87,,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Fagus grandifolia,Fagaceae,Fagales,angio,woody,Tree,D,S,27.95,27.95,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Fraxinus americana,Oleaceae,Lamiales,angio,woody,Tree,D,C,18.31,,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Fraxinus pennsylvanica,Oleaceae,Lamiales,angio,woody,Tree,D,C,44.87,,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Hamamelis virginiana,Hamamelidaceae,Saxifragales,angio,woody,Shrub,D,S,37.88,37.88,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Ostrya virginiana,Betulaceae,Fagales,angio,woody,Tree,D,S,23.28,23.28,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Populus tremuloides,Salicaceae,Malpighiales,angio,woody,Tree,D,S,13.48,13.48,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Prunus serotina,Rosaceae,Rosales,angio,woody,Tree,D,S,18.52,18.52,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Quercus rubra,Fagaceae,Fagales,angio,woody,Tree,D,S,28.82,28.82,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Salix discolor,Salicaceae,Malpighiales,angio,woody,Tree,D,S,15.26,15.26,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Sambucus pubens,Adoxaceae,Dipsacales,angio,woody,Shrub,D,C,23.1,,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
Tilia americana,Malvaceae,Malvales,angio,woody,Tree,D,S,130.01,130.01,United States,42.51,-74.138,505,7.6,14.58,-6.23,6.77,20.47,880,766,47.13,0.87,0.87,1016.37,878.3,173.2,130.02,69.9,69.8
